Nick Hornby,1
Bryn Terfel,1
Barbara Taylor Bradford,2
Daniel Libeskind,1
Bishop John Sentamu,1
Mark Tully,1
Vittorio Radice,1
Meera Syal,1
Derek Brown,1
Franco Zeffirelli,2
George Fenton,1
Professor A H Halsey,1
Rory Bremner,1
Margaret Atwood,1
David Gilmour,1
Kristin Scott Thomas,1
Claude-Michel Schonberg,1
Nick Danziger,1
Vic Reeves,1
Gene Pitney,1
George Clooney,1
Cornelia Parker,1
Sir Ian McKellen,2
Paul Whitehouse,1
Sir Trevor Nunn,2
Professor Baruch Blumberg,1
Gillian Anderson,1
George Foreman,1
Patricia Cornwell,1
Rowan Williams,1
Sinead Cusack,2
Linton Kwesi Johnson,1
John Malkovich,1
Rt Hon Iain Duncan Smith MP,1
Christopher Ondaatje,1
Marguerite Wolff,1
Rt Hon Robin Cook MP,1
P D James,2
Carl Djerassi,1
Paul Gambaccini,1
Philip Pullman,1
Dame Alicia Markova,2
Timothy Spall,1
Brian May,1
Alan Titchmarsh,1
Minette Walters,1
Countess Elizabeth Longford,2
Jan Morris,2
Leonard Rosoman,1
Sue Johnston,1
Suggs,1
Sir Aaron Klug,1
Jude Kelly,1
Betty Jackson,1
Wayne Marshall,1
Sir Christopher Bland,1
Fiona Reynolds,1
Gordon Ramsay,1
Dorothy Rowe,1
Fay Godwin,1
Dame Beryl Grey,2
Lord May,1
Sue MacGregor,1
Kazuo Ishiguro,1
Sir Paul Nurse,1
David Linley,1
Phyllis Sellick,1
Bob Worcester,1
Susana Walton,1
Sir Peter Morris,1
Ewan McGregor,1
Jamie Oliver,1
Anne Fine,1
Cameron Mackintosh,1
Rt Hon William Hague MP,1
Ken Follett,1
Billy Connolly,2
Simon Schama,1
Lord Roll,1
Bruce Fogle,1
Joss Ackland,2
Lord Deedes,1
Claudia Roden,1
Cormac Murphy O'Connor,1
Martin Bell,1
Peggy Seeger,1
Sir Stanley Kalms,1
Sir Harry Kroto,1
Frank McCourt,1
Sir Kyffin Williams,1
Sir Thomas Allen,2
Courtney Pine,1
Sir Timothy Clifford,1
Sir John Sulston,1
Margaret Drabble,2
Tasmin Little,1
Chris Tarrant,1
Ronald Blythe,1
Tanni Grey Thompson,1
Sir Alec Broers,1
Shirley Hughes,1
Professor Peter Vanezis,1
Henry Sandon,1
John Lill,2
Charlie Watts,1
Professor Sir Richard Doll,1
Griff Rhys Jones,1
Sir John Mortimer,3
Terry O'Neill,1
Marguerite Patten,1
George MacDonald Fraser,2
Marquess Of Bath,2
Stephen Sondheim,2
Norman Painting,1
Professor Jocelyn Bell Burnell,1
Richard Briers,2
Tim Smit,1
Tina Brown,1
Albie Sachs,1
Des Lynam,1
J K Rowling,1
Ronald Harwood,1
Christopher Lloyd,1
Robert Swan,1
Sir Norman Wisdom,2
General Sir Charles Guthrie,1
Sir Roger Penrose,1
Rt Hon Michael Portillo MP,1
Alan Parker,2
Peter Nichols,2
Dr Max Perutz,1
Donald Sutherland,1
Clive James,2
Professor Geza Vermes,1
John Bird,3
Dame Norma Major,1
Kathleen Turner,1
Sir John Mills,3
Sir Peter Bonfield,1
Leonard Slatkin,1
Sir Anthony Caro,1
Claire Tomalin,1
Harold Evans,1
Adrian Noble,1
Al Alvarez,1
Colin Montgomerie,1
Robert McCrum,1
Sheila Hancock,2
Michael Holroyd,2
Professor Stuart Hall,1
Simon Callow,1
Peter Melchett,1
Neil Jordan,1
Ian McEwan,1
Dr Jane Goodall,1
Sir Andrew Lloyd Webber,2
Michael Crawford,3
Michael Nyman,1
Oz Clarke,1
Sir Richard Sykes,1
Warren Mitchell,2
Clarissa Dickson Wright,1
William Gibson,1
Willard White,1
Ralph Fiennes,1
Rolf Harris,2
Rita Dove,1
Sir Roger Norrington,1
Patricia Routledge,2
Rick Stein,1
Rod Steiger,1
Martin Pipe,1
Paddy Moloney,1
Igor Aleksander,1
Rt Hon Ann Widdecombe MP,1
James Dyson,1
John Barry,2
Chris Bonington,2
Anthony Howard,1
Christopher Bruce,1
Michael Green,1
Richard Dreyfuss,1
Helen Bamber,1
Stan Tracey,1
Ken Loach,1
Paco Pena,2
Richard Dunwoody,1
Luise Rainer,1
Rt Hon Mo Mowlam MP,1
Fay Maschler,1
Sir Charles Mackerras,3
Richard Curtis,1
Maria Ewing,1
Nina Cassian,1
Andras Schiff,1
Bill Bryson,1
Ruth Prawer Jhabvala,1
David Shepherd,2
Claire Hollingworth,1
Dave Brubeck,2
Bob Monkhouse,1
Dick Francis,2
John Keegan,1
Eileen Atkins,1
Bill Morris,1
Nicole Kidman,1
Joseph Rotblat,1
Paul Daniel,1
Lucy Gannon,1
Ralph Koltai,1
Les Murray,1
David Hempleman Adams,1
Ralph Steadman,1
Chris De Burgh,1
Howard Brenton,1
Rt Hon Jack Straw MP,1
Sybille Bedford,1
Jack Rosenthal,1
Bill Kenwright,1
Geoffrey Smith,1
John Harle,1
Sir David Willcocks,1
Antony Gormley,1
Susan Blackmore,1
Sir Ernest Hall,1
Sir Terry Frost,1
Judi Dench,2
Gavin Bryars,1
Alice Thomas Ellis,1
Andrew Motion,1
Ian Stewart,1
Sir Anthony Dowell,2
Archie Norman MP,1
David Pountney,1
Richard Noble,1
Colin Dexter,1
Helena Kennedy QC,1
John Tomlinson,1
Paul Hogarth,1
Professor Heinz Wolff,1
Glenda Jackson MP,1
Sir Harry Secombe,2
Chris Haskins,1
Paula Rego,1
Loyd Grossman,1
Thelma Holt,1
Anthony Minghella,1
John Julius Norwich,2
Richard Mabey,1
Richard Rodney Bennett,2
Rose Tremain,1
Jools Holland,1
Peter O'Sullevan,1
Mike Leigh OBE,1
Ursula Owen,1
Sir Frank Kermode,1
Cleo Laine,2
Iain Banks,1
Eric Sykes,2
Christina Noble,1
Benjamin Zephaniah,1
Joanna MacGregor,1
Sian Phillips,2
Harry Enfield,1
David Wynne,2
Sir Martin Rees,1
Andy Hamilton,1
Saeed Jaffrey,1
Virginia Ironside,1
Peter Blake,2
Nina Campbell,1
Redmond O'Hanlon,1
Dr Susan Greenfield,1
Nico Ladenis,1
Mary Benson,1
Terry Pratchett,1
Gene Wilder,1
Irene Thomas,2
John Cleese,2
Martin Amis,1
Jennifer Saunders,1
Ian Dury,1
Robert Winston,1
Bruce Forsyth,2
Rt Hon Tony Blair MP,1
Tessa Sanderson,1
Sir Laurens van der Post,2
Chris Patten,1
Jancis Robinson,1
Jackie Charlton,2
Rumer Godden,2
Lewis Wolpert,1
Ben Elton,1
Fran Landesman,1
Kevin Whately,1
Professor Colin Blakemore,1
Sir Terence Conran,1
Anita Lasker-Wallfisch,1
Andre Previn,2
Quentin Crewe,2
Peggy Mount,2
Gerry Robinson,1
Michael White,1
Janet Holmes a Court,1
Hugh Laurie,1
Pauline Quirke,1
Mitsuko Uchida,1
Hanif Kureishi,1
Viscount Rothermere,1
Dickie Bird,1
Simon Weston,1
Kyra Vayne,1
Lord Alexander,1
Rt Hon Gordon Brown MP,1
Sir Roy Calne,1
Professor George Steiner,1
Susan Hill,2
Eve Arnold,1
Julian Barnes,1
Chili Bouchier,1
Jimmy McGovern,1
Christopher Hampton,1
Lady Margaret Tebbit,1
Petula Clark,3
Barbara Dickson,1
Alison Steadman,1
George Martin,2
Umberto Eco,1
Rt Hon Gillian Shephard MP,1
Elizabeth Jane Howard,2
Don Black,1
Richard Hoggart,1
Alan Yentob,1
Jenny Pitman,1
Maurice Saatchi,1
Max Nicholson,1
John Updike,1
Wendy Richard,1
Duke Of Westminster,1
Jasper Conran,1
Sir Magdi Yacoub,1
John Lee Hooker,1
Brian Blessed,1
Marianne Faithfull,1
Sir Bernard Ingham,1
Neil Simon,1
Dr George Carey,1
Pete Waterman,1
George Lloyd,1
Hugh Grant,1
James Bowman,1
Nina Bawden,1
Felix Aprahamian,1
Nigel Nicolson,1
Professor Eric Hobsbawm,1
Christopher Lee,1
Jimmy Knapp,1
Sir Adrian Cadbury,1
Dr Richard Dawkins,1
Phil Redmond,1
Patricia Hodge,1
Alan Clark,1
David Jason OBE,1
Penelope Hobhouse,1
Margaret Forster,1
Sir Howard Hodgkin,1
Glenys Kinnock,1
Berthold Goldschmidt,1
Archbishop Desmond Tutu,1
Kathleen Hale,1
Lynda La Plante,1
Sir George Christie,1
Jeanette Winterson,1
Professor James Fenton,1
Mary Stott,1
John Tavener,1
Joanna Trollope,1
Rabbi Hugo Gryn,1
Derek Jameson,1
John Drummond,1
Brian Sewell,1
Zoe Wanamaker,1
Milton Shulman,1
Peter Scudamore,1
Britt Ekland,1
Kate Adie,1
Sir John Wilson,1
Garrison Keillor,1
Trevor McDonald,1
Alan Hacker,1
Roger McGough,1
Sir Ranulph Fiennes,2
Conrad Black,1
Christina Dodwell,1
Frances Partridge,1
Rt Hon Kenneth Clarke MP,1
Rosemary Verey,1
Douglas Adams,1
Dame Cicely Saunders,1
Willy Russell,1
Sir Harrison Birtwistle,1
Ian Hislop,1
Oliver Sacks,1
Lord Ashley,1
Phil Collins,1
Taki,1
Doris Lessing,1
Shirley Anne Field,1
Sybil Marshall,1
Judge Stephen Tumin,1
