206,John Steinbeck,Short Stories
207,Francis Child,English Scottish Ballads
208,Gabriel Garcia Marquez,One Hundred Years Of Solitude
209,Johan H Huizinga,The Waning Of The Middle Ages
210,Scarlatti,All The Sonatas
211,"",Encyclopaedia
212,M Horace Hayes,Veterinary Notes For Horse Owners
213,Tom Sharpe,Wilt
214,Daniel Defoe,Robinson Crusoe
215,Harold Pinter,Compendium Of Plays
216,Henry James,The Golden Bowl
217,V S Naipaul,A House For Mr Biswas
218,"",Atlas Of The Third World
219,Honore De Balzac,Fairy Stories
220,T S Eliot,Four Quartets
221,Arthur Koestler,The Act Of Creation
222,Helen Gardiner,The Oxford Book Of English Verse
223,Robert Graves,Greek Myths
224,"","Recent Editions Of Magazines, E.g. Vanity Fair; Vogue"
225,Geoffrey Chaucer,Canterbury Tales
226,Kahlil Gibran,The Prophet
227,Duc De Saint-simon,Memoirs
228,Dr Roy Strong,A Celebration Of Gardens
229,"",The Oxford Dictionary Of Quotations
230,"",A Thousand And One Nights
231,"",Reader's Digest
232,Mark Twain,Huckleberry Finn
233,"",Photograph Album
234,"",Norton's Star Atlas
235,"",All Correspondence Between Her And Her Mother
236,Anne Frank,Diary
237,Vikram Seth,A Suitable Boy
238,Naomi Lewis,Messages - Poetry
239,"",Faber Book Of Religious Verse
240,Dan Millman,Way Of The Peaceful Warrior
241,Samuel Pepys,Diary
242,Stephen Runciman,History Of The Crusades
243,Richard Elman,The New Oxford Book Of American Verse
244,Henry Handel Richardson,Maurice Guest
245,T H White,The Once And Future King
246,W B Yeats,Complete Works
247,Sigmund Freud,Complete Works
248,"",Geometry Tutor
249,William Shakespeare,Complete Works In German
250,"",Russian Dictionary
251,Sir Winston Churchill,History Of The English-speaking Peoples
252,Chateaubriand,Memories From Beyond The Grave
253,Kingsley Amis,Lucky Jim
254,Charles Dickens,Oliver Twist
255,John Donne,Poems For Joy Sermons For Solace
256,"",Sas Survival Manual
257,"",A Diy Manual
258,Robert Heinlein,Glory Road
259,"",A Collection Of Poems
260,W B Yeats,Poetry
261,"",A Book Of American History
262,"",History Of The United States
263,Kenneth Rose,George V
264,"",Who's Who In The Theatre
265,William Morris,The Collected Works
266,"",A Book About Hollywood
267,"",A History Of Great Britain
268,Margaret Mitchell,Gone With The Wind
269,Thomas Hardy,Mayor Of Casterbridge
270,"",Teach Yourself Bridge
271,"",A Bound Copy Of The Spectator Magazines
272,Anthony Trollope,Barchester Novels
273,"",A Do-it-yourself Manual
274,"",Do-it-yourself Manual
275,Gabriel Garcia Marquez,Love In The Time Of Cholera
276,"",I Ching
277,"",Teach Yourself Physics
278,Marcel Proust,Books
279,"",Dictionary Of National Biography
280,Herman Melville,Moby Dick
281,"",A Book Of Edible Fruits And Vegetables
282,Oscar Wilde,The Picture Of Dorian Gray
283,"",Teach-yourself Manual Of The Principal Foreign Languages
284,Josef Von Sternberg,Fun In A Chinese Laundry
285,Thora Hird,Scene Hird
286,"",History Of The World
287,Charlotte Bronte,Jane Eyre
288,"",Encyclopaedia Britannica
289,"",The Scores Of All Music Chosen In A Bound Volume
290,Agatha Christie,Why Didn't They Ask Evans?
291,Thomas Hardy,Tess Of The D'urbervilles
292,Anthony Trollope,The Last Chronicle Of Barset
293,"",The Oxford English Dictionary
294,Aesop,Fables
295,Lewis Carroll,Alice In Wonderland
296,Gareth Jones,The Disinherited
297,"",A Collection Of Short Stories
298,St Francis De Sales,Introduction To The Devout Life
299,"",Filofax
300,Johann Wyss,The Swiss Family Robinson
301,Pat Conroy,Prince Of Tides
302,"",The Biggest Atlas In The World
