114,Frank Sinatra,Well Did You Evah?,Composer: Cole Porter
115,Ian Charleson,Full Fathom Five,Composer: Guy Woolfenden
116,Sergei Sergeyevich Prokofiev,Dance Of The Knights (from Romeo And Juliet),Artist: The London Symphony Orchestra Conducted By Andre Previn
117,Jackson Scott And His Band Mano De Dios,Volveras,Composer: Roberto Ares Mano De Dios
118,Fred Astaire,Let's Face The Music And Dance,Composer: Irving Berlin
119,Franz Schubert,Fantasie For Piano For Four Hands In F Minor,Artist: Evgeny Kissin And James Levine
120,Nina Simone,My Baby Just Cares For Me,Composer: Walter Donaldson/ Gus Kahn
121,Frank Sinatra,High Hopes,Composer: J Van Heusen/s Cahn
122,Ska Toons,I'm In The Mood For Love,Composer: Fields Mchugh
123,Georgie Fame,Yeh Yeh,Composer: Grant-patrick-hendricks
124,St. Paul's Cathedral Choir,Dear Lord And Father Of Mankind,Composer: Hubert Parry
125,Martin Phipps,The Theme For Small Island Television Series,Composer: Martin Phipps
126,Bob Marley,Redemption Song,Composer: B Marley
127,Al Green,Let's Stay Together,Composer: Mitchell/green/jackson
128,Gossip,Heavy Cross,Composer: Gossip
129,Nina Simone,Strange Fruit,Composer: L. Allen
130,Calvin Harris,Merrymaking At My Place,Composer: Calvin Harris (wiles)
131,The Velvet Underground,White Light/white Heat,Composer: Lou Reed
132,Fever Ray,When I Grow Up,Composer: Fever Ray
133,Nino Rota,La Passerella From The Film 8 1/2,Artist: Riccardo Muti And The Original Film Soundtrack
134,Peaches,Talk To Me,"Composer: Gonzales, Peaches"
135,Gustav Mahler,Symphony No. 5 In C Sharp Minor - 4th Movement (adagietto),Artist: Berlin Philharmonic Conducted By Sir Simon Rattle
136,Bette Midler,Accentuate The Positive,Composer: Harold Arlen - Music Johnny Mercer
137,Liane Carroll,Three Sheets To The Wind,Composer: Liane Carroll
138,Louis Armstrong,A Kiss To Build A Dream On,Composer: Kalmar/ruby/oscar Hammerstein 11
139,Ian Shaw,Somewhere Towards Love,Composer: Ian Shaw
140,George Melly,Rockin' Chair,Composer: Carmichael
141,Michael Jackson,Billie Jean,Composer: M Jackson
142,Sarah Jane Morris,Never Forget How To Dance,Composer: Sarah Jane Morris/martyn Barker/dominic Miller/john Brown
143,Little Richard,Good Golly Miss Molly,"Composer: Marascalco, Blackwell"
144,The Rolling Stones,Little Red Rooster,Composer: Willie Dixon
145,Ella Fitzgerald Louis Armstrong,Cheek To Cheek,Composer: Irving Berlin
146,Lou Reed,Walk On The Wild Side,Composer: Lou Reed
147,Phil Collins,In The Air Tonight,Composer: Phil Collins
148,Lucinda Williams,Can't Let Go,Composer: Randy Weeks
149,Marvin Gaye,Let's Get It On,Composer: Gaye/townsend
150,Monty Python,Always Look On The Bright Side Of Life,Composer: Eric Idle.
151,Bob Dylan,I'll Be Your Baby Tonight,Composer: Bob Dylan
152,Dinah Washington,But Not For Me,Composer: George And Ira Gershwin
153,Buena Vista Social Club,Chan Chan,Composer: Compay Segundo
154,Doris Day,By The Light Of The Silvery Moon,Composer: Madden/edwards
155,Leonard Bernstein,Somewhere (from West Side Story),Artist: Marnis Nixon And Jim Bryant
156,The Beatles,I Want To Hold Your Hand,Composer: Lennon/mccartney
157,Giovanni Battista Pergolesi,Stabat Mater,Artist: Cecilia Bartoli (and June Anderson) With The Sinfonietta De Montreal Conducted By Charles Dutoit
158,Barbra Streisand,The Way We Were,Composer: Marvin Hamlisch/alan Bergman Marilyn Bergman
159,Antonio Vivaldi,The Four Seasons - Spring,Artist: Gidon Kremer With The London Symphony Orchestra Conducted By Claudio Abbado
160,George Frideric Handel,Comfort Ye My People (from Messiah),Artist: Philip Langridge
161,The Kinks,Waterloo Sunset,Composer: Ray Davies
162,June Tabor,The Band Played Waltzing Matilda,Composer: E Bogle
163,George Fenton,The Funeral,Composer: Fenton/gwangwa)
164,Wolfgang Amadeus Mozart,Dove Sono (from The Marriage Of Figaro),Artist: Kiri Te Kanawa With The London Philharmonic Orchestra Conducted By Sir Georg Solti
165,Johann Sebastian Bach,"Herr, Wenn Die Stolzen Feinde Schnauben- Lord, If Proud Enemies Rage, From Bach's Christmas Oratorio",Artist: The Monteverdi Choir The English Baroque Soloists Conducted By John Eliot Gardiner
