Jamie Cullum
Clarissa Dickson Wright
William Gibson
Willard White
Ralph Fiennes
Rolf Harris
Rita Dove
Sir Roger Norrington
Patricia Routledge
Rick Stein
Rod Steiger
Martin Pipe
Paddy Moloney
Igor Aleksander
Rt Hon Ann Widdecombe MP
James Dyson
John Barry
Chris Bonington
Anthony Howard
Christopher Bruce
Michael Green
Richard Dreyfuss
Helen Bamber
Stan Tracey
Ken Loach
Paco Pena
Richard Dunwoody
Luise Rainer
Rt Hon Mo Mowlam MP
Fay Maschler
Sir Charles Mackerras
Richard Curtis
Maria Ewing
Nina Cassian
Andras Schiff
Bill Bryson
Ruth Prawer Jhabvala
David Shepherd
Claire Hollingworth
Dave Brubeck
Bob Monkhouse
Dick Francis
John Keegan
Eileen Atkins
Bill Morris
Nicole Kidman
Joseph Rotblat
Paul Daniel
Lucy Gannon
Ralph Koltai
Les Murray
David Hempleman Adams
Ralph Steadman
Chris De Burgh
Howard Brenton
Rt Hon Jack Straw MP
Sybille Bedford
Jack Rosenthal
Bill Kenwright
Geoffrey Smith
John Harle
Sir David Willcocks
Antony Gormley
Susan Blackmore
Sir Ernest Hall
Sir Terry Frost
Judi Dench
Gavin Bryars
Alice Thomas Ellis
Andrew Motion
Ian Stewart
Sir Anthony Dowell
Archie Norman MP
David Pountney
Richard Noble
Colin Dexter
Helena Kennedy QC
John Tomlinson
Paul Hogarth
Professor Heinz Wolff
Glenda Jackson MP
Sir Harry Secombe
Chris Haskins
Paula Rego
Loyd Grossman
Thelma Holt
Anthony Minghella
John Julius Norwich
Richard Mabey
Richard Rodney Bennett
Rose Tremain
Jools Holland
Peter O'Sullevan
Mike Leigh OBE
Ursula Owen
Sir Frank Kermode
Cleo Laine
Iain Banks
Eric Sykes
Christina Noble
Benjamin Zephaniah
Joanna MacGregor
Sian Phillips
Harry Enfield
David Wynne
Sir Martin Rees
Andy Hamilton
Saeed Jaffrey
Virginia Ironside
Peter Blake
Nina Campbell
Redmond O'Hanlon
Dr Susan Greenfield
Nico Ladenis
Mary Benson
Terry Pratchett
Gene Wilder
Irene Thomas
John Cleese
Martin Amis
Jennifer Saunders
Ian Dury
Robert Winston
Bruce Forsyth
Rt Hon Tony Blair MP
Tessa Sanderson
Sir Laurens van der Post
Chris Patten
Jancis Robinson
Jackie Charlton
Rumer Godden
Lewis Wolpert
Ben Elton
Fran Landesman
Kevin Whately
Professor Colin Blakemore
Sir Terence Conran
Anita Lasker-Wallfisch
Andre Previn
Quentin Crewe
Peggy Mount
Gerry Robinson
Michael White
Janet Holmes a Court
Hugh Laurie
Pauline Quirke
Mitsuko Uchida
Hanif Kureishi
Viscount Rothermere
Dickie Bird
Simon Weston
Kyra Vayne
Lord Alexander
Rt Hon Gordon Brown MP
Sir Roy Calne
Professor George Steiner
Susan Hill
Eve Arnold
Julian Barnes
Chili Bouchier
Jimmy McGovern
Christopher Hampton
Lady Margaret Tebbit
Petula Clark
Barbara Dickson
Alison Steadman
George Martin
Umberto Eco
Rt Hon Gillian Shephard MP
Elizabeth Jane Howard
Don Black
Richard Hoggart
Alan Yentob
Jenny Pitman
Maurice Saatchi
Max Nicholson
John Updike
Wendy Richard
Duke Of Westminster
Jasper Conran
Sir Magdi Yacoub
John Lee Hooker
Brian Blessed
Marianne Faithfull
Sir Bernard Ingham
Neil Simon
Dr George Carey
Pete Waterman
George Lloyd
Hugh Grant
James Bowman
Nina Bawden
Felix Aprahamian
Nigel Nicolson
Professor Eric Hobsbawm
Christopher Lee
Jimmy Knapp
Sir Adrian Cadbury
Dr Richard Dawkins
Phil Redmond
Patricia Hodge
Alan Clark
David Jason OBE
Penelope Hobhouse
Margaret Forster
Sir Howard Hodgkin
Glenys Kinnock
Berthold Goldschmidt
Archbishop Desmond Tutu
Kathleen Hale
Lynda La Plante
Sir George Christie
Jeanette Winterson
Professor James Fenton
Mary Stott
John Tavener
Joanna Trollope
Rabbi Hugo Gryn
Derek Jameson
John Drummond
Brian Sewell
Zoe Wanamaker
Milton Shulman
Peter Scudamore
Britt Ekland
Kate Adie
Sir John Wilson
Garrison Keillor
Trevor McDonald
Alan Hacker
Roger McGough
Sir Ranulph Fiennes
Conrad Black
Christina Dodwell
Frances Partridge
Rt Hon Kenneth Clarke MP
Rosemary Verey
Douglas Adams
Dame Cicely Saunders
Willy Russell
Sir Harrison Birtwistle
Ian Hislop
Oliver Sacks
Lord Ashley
Phil Collins
Taki
Doris Lessing
Shirley Anne Field
Sybil Marshall
Judge Stephen Tumin
Kenny Everett
Raymond Seitz
Lesley Garrett
Rt Hon Virginia Bottomley MP
Lord Palumbo
Paul Merton
Isabel Allende
Nicholas Hytner
Peter Mayle
Sir Leon Brittan
Joan Baez
Rt Hon Betty Boothroyd MP
Frank Bruno
Kaye Webb
Lord Weinstock
Eva Burrows
John Cole
John Boorman
Baroness Blackstone
Anton Edelmann
Lord Oaksey
Richard Gregory
David Croft
Ken Livingstone MP
Elijah Moshinsky
Sir Robin Butler
Anthony Storr
Evelyn Glennie
Dervla Murphy
Barbara Mills QC
Elizabeth Jennings
Stephen Hawking
Paul Smith
Professor Ghillean Prance
Carmen Callil
Lord Tebbit
John Eliot Gardiner
Christabel Bielenberg
General H Norman Schwarzkopf
Gavin Laird
Julie Andrews
Juliet Stevenson
Chad Varah
Raymond Blanc
Penelope Leach
Bob Geldof
Rt Hon David Mellor MP
Sir Peregrine Worsthorne
Mohamed Amin
Clare Short MP
Vivienne Westwood
Terry Waite
Robert Lindsay
Duncan Goodhew
Prunella Scales
Lord Chief Justice Taylor
Michael Grade
Will Carling
Marchioness Of Tavistock
Anthony Rolfe Johnson
Sir Ernst Gombrich
Lady Soames
Sir Isaiah Berlin
Jocelyn Stevens
Dr Steve Jones
Elvis Costello
Sir Roger Bannister
Robbie Coltrane
J G Ballard
John Major
Reverend David Jenkins
Steven Berkoff
Gorden Kaye
Sue Townsend
Fred Dibnah
Dilys Powell
James Lovelock
Lord Delfont
E P Thompson
Alan Alda
Elizabeth Esteve-Coll
John Schlesinger
Imran Khan
David Bailey
Klaus Tennstedt
John Banham
Bernice Rubens
Maxwell Hutchinson
Alan Bleasdale
Lord Shawcross
Ron Todd
John Hegarty
A S Byatt
Derek Walcott
Marco Pierre White
Rt Hon John Smith
John Simpson
Cecil Lewis
Dame Shirley Porter
Dr Jonathan Sacks
Lord King
Naomi Mitchison
Marti Caine
Sir Trevor Holdsworth
Jeffrey Bernard
Sir Denis Forman
Ronald Eyre
Dame Ninette De Valois
Paddy Ashdown MP
Professor Ralf Dahrendorf
Brian Eno
Fred Zinnemann
Adelaide Hall
Lord Goodman
Keith Floyd
Brian Keenan
Sir Eduardo Paolozzi
Baroness Trumpington
Elisabeth Welch
Rt Hon Barbara Castle
Lord Annan
Nicholas Snowman
Ernie Wise
Clive Jenkins
John Thaw
Gary Lineker
Barbara Windsor
Dr Ruth Westheimer
Lord Charteris
Robin Knox-Johnston
Jean Rook
Peter Jonas
Kaffe Fassett
George Carman QC
Harold Fielding
Maeve Binchy
Ken Dodd
Rt Hon David Blunkett MP
Jonathan Pryce
Molly Keane
Prue Leith
June Whitfield
Mary Wesley
Sir Crispin Tickell
Rt Hon John Biffen MP
Richard Rogers
Professor Sir George Porter
Sir Ian Trethowan
John Sessions
John Pilger
Michael Tilson Thomas
Sarah Miles
Lord Weidenfeld
Sir Robin Day
John Peel
Dennis Skinner
Dirk Bogarde
HRH The Duchess of Kent
Pauline Collins
Rt. Hon. Nigel Lawson
Lady Mosley
Seamus Heaney
Michael Codron
Ian Botham
Colin Thubron
Alan Plater
Jack Lemmon
Lucinda Lambton
John Ogdon
Penelope Lively
Eric Clapton
Dame Vera Lynn
Sir Thomas Armstrong
Ned Sherrin
Mark McCormack
Joan Collins
Maria Aitken
Jonathon Porritt
Richard Branson
Sir Nicholas Henderson
Katharine Hamnett
Thora Hird
Lenny Henry
Lady Redgrave
Miriam Rothschild
Lord Roy Jenkins
Leslie Grantham
Sir Stephen Spender
Gerald Scarfe
Dame Josephine Barnes
David Hare
Enoch Powell
Jeffrey Tate
Rocco Forte
Joan Armatrading
Boy George
Tony Benn
Twiggy
Most Rev Robert Runcie
Edward Heath
Charles Dance
Lady Warnock
Stephen Fry
Bob Champion
Bob Hoskins
Sir Claus Moser
Germaine Greer
Rt. Hon. Michael Foot
Cilla Black
Athene Seyler
Bishop Trevor Huddleston
Salman Rushdie
Peter Donohoe
Alfred Wainwright
Anita Dobson
Lord Dacre of Glanton (Hugh Trevor-Roper)
Patricia Neal
Reverend Ian Paisley
Joan Turner
Lord Armstrong
Dame Edna Everage
David Essex
David Owen
Jeremy Isaacs
Gwen Ffrangcon-Davies
Rt. Hon. Douglas Hurd
Anton Mosimann
Rabbi Lionel Blue
Anita Roddick
Rowan Atkinson
Peggy Makins
Neil Kinnock
Michael Gambon
Mary Archer
Arthur Scargill
Jane Asher
Quintin Hogg
Brendan Foster
James Burke
Stephanie Beacham
Dennis Potter
William Davis
Margaret Kelly - Miss Bluebell
Lord Donoughue
Gemma Craven
Rt. Hon. Michael Heseltine
Adele Leigh
Lew Grade
Antony Sher
Vernon Scannell
Barry Cryer
Robert Carrier
Sue Lawley
Bamber Gascoigne
Bernard Levin
Sir James Callaghan
Lord Killanin
Lulu
Jacques Loussier
Peter West
Kitty Godfree
Lord Montagu
Susan George
Frances Edmonds
Maya Angelou
Kenneth Williams
Lucinda Green
Elaine Paige
Robert Maxwell
Frank Bough
Michael Bogdanov
Julian Critchley
Anthony Andrews
Peter Alliss
David Penhaligon
Dora Bryan
Johnny Mathis
Sir Nicholas Goodison
Ken Russell
Sir Michael Hordern
Peter Fluck &amp; Roger Law
Baroness (Sue) Ryder of Warsaw
Jeremy Lloyd
James Prior
Tony Bennett
Benny Green
Jackie Collins
Nigel Hawthorne
Captain John Ridgway
Hal Prince
Kingsley Amis
Albert &amp; Michel Roux
Phil Edmonds
Sir Fred Hoyle
Sir Ian MacGregor
Richard Condon
Suzi Quatro
James Herbert
Andrew Davis
Auberon Waugh
Stan Barstow
Jane Lapotaire
Virginia Holgate
Norman Lewis
Roger Vadim
Sir Geoffrey Howe
Sir David Wilson
Brian Redhead
Anne-Sophie Mutter
Jackie Stewart
Max Hastings
Ismail Merchant
Elton John
Arthur Hailey
Jane Glover
Ron Pickering
John Dankworth
Selina Scott
Ben Kingsley
Bruce Oldfield
Dennis Taylor
Roy Hattersley
Maureen Lipman
Nigel Kennedy
Sheila Steafel
Rt Hon David Steel MP
Robert Burchfield
Joseph Allen
Doris Stokes
Jimmy Savile
Richard Eyre
Gordon Beningfield
Alison Lurie
Jorge Bolet
Anthony Hopkins
Michael Elkins
Elly Ameling
Julie Walters
Madhur Jaffrey
John Harvey-Jones
Tom Stoppard
Sir Michael Tippett
Ray Cooney
Sir John Burgh
Miklos Rozsa
Robin Hanbury-Tenison
David Puttnam
Vernon Handley
Tom Sharpe
David Rendall
Jonathan Lynn
Michael Ffolkes
John Surman
John Hurt
Alfred Eisenstadt
Gerry Cottle
Catherine Cookson
George Abbott
Ved Mehta
Willie Rushton
Ron Goodwin
Gayatri Devi
Sir Alfred Ayer
Natalia Makarova
Vlado Perlemuter
Lord Rothschild
Zubin Mehta
Hugh Johnson
Rosalind Plowright
Leo McKern
David Lodge
Lucy Irvine
Christopher Reeve
Paul Tortelier
'Honest' Ed Mirvish
Michael Quinn
Don McCullin
Gerald Priestland
Michael York
Woody Herman
Lord Elwyn-Jones
Stubby Kaye
HRH Princess Michael of Kent
David Gower
Bertice Reading
M M Kaye
James Stewart
John Piper
Marvin Hamlisch
Sir Hugh Greene
Sir Peter Hall
Shirley MacLaine
Linda Esther Gray
Topol
Mollie Harris
Rosemary Sutcliff
Ian Richardson
Lionel Hampton
Charlotte Lamb
Paul Jones
Cindy Buxton &amp; Annie Price
Malcolm Bradbury
Peter Bull
Sir Frederick Gibberd
Keith Waterhouse
John Gunter
Sir John Pritchard
Julian Bream
Terry Jones
Fleur Cowles
Sir Peter Pears
Sir Alan King-Hamilton
Arthur English
A N Wilson
Max Boyce
Geoffrey Moorhouse
Ruggiero Ricci
James Fox
Michael Wood
Douglas Reeman
Kenneth Macmillan
Tom Keating
James Ivory
Zandra Rhodes
Beryl Reid
Tim Severin
Gwyneth Jones
Baroness Maria Von Trapp
Steve Davis
Rachel Billington
Mary Ellis
Gyorgy Ligeti
Alan Price
Helen Mirren
Rosamond Lehmann
Rt Hon. George Thomas
Mike Harding
Geoffrey Grigson
"N.Busch, J.Kuchmy, M.Parry, M.Wilson"
David Lloyd Jones
Wilbur Smith
Carlo Curley
James Loughran
Claire Bloom
Duke &amp; Duchess of Devonshire
Carl Davis
Donald Sinden
Dame Janet Baker
Lyall Watson
Pamela Stephenson
Captain Jacques Cousteau
Eric Newby
Sir Anton Dolin
Delia Smith
Desmond Hawkins
Marti Webb
Julian Symons
Lucia Popp
Jenny Agutter
Dorothy Dunnett
Julia McKenzie
Richard Armstrong
Sir William Walton
Lord Bernard Miles
George Chisholm
Dame Eva Turner
John Osborne
Sir Christopher Leaver
Professor J K Galbraith
Paul McCartney
Frankie Howerd
Angela Rippon
Martin Gilbert
Trevor Brooking
Earl of Harewood
Helene Hanff
Alan Howard
Sir Douglas Bader
Diana Dors
James Clavell
Professor Glyn Daniel
Patrick Lichfield
Joseph Cotten
Elspeth Huxley
Montserrat Caballe
Beaux Arts Trio
James Mason
Malcolm Muggeridge
Jessye Norman
Alan Jones
Frank Oz
Paul Eddington
Terry Hands
Julian Lloyd Webber
Roger Moore
Carl Sagan
Gillian Lynne
Gloria Swanson
Morris West
Giuseppe Di Stefano
Richard Leakey
Rt Hon William Whitelaw
Eric Shilling
Edmund Rubbra
Sir John Gielgud
Buddy Rich
Sir Frederick Ashton
Stewart Granger
Princess Grace of Monaco
Sir Fitzroy MacLean
Gary Glitter
Patricia Ruanne
Russell Harty
Daniel Massey
Carla Lane
David Broome
Mary O'Hara
Jeffrey Archer
HRH Princess Margaret
John Fowles
Robin Cousins
Placido Domingo
Arthur Askey
Neville Marriner
Jose Carreras
Alan Minter
Tom Conti
Jacquetta Hawkes
Mark Elder
Derek Tangye
Catherine Gaskin
Brian Glover
Sir John Tooley
Ronald Lockley
Andrea Newman
Michael Powell &amp; Emeric Pressburger
Antal Dorati
Earl Of Snowdon
Renata Scotto
Tristan Jones
William Trevor
Gregory Peck
David Scott Blackhall
Daley Thompson
Tom Lehrer
V S Naipaul
Barbara Woodhouse
General Sir John Hackett
Freddie Jones
Robert Tear
Earl Hines
Rt Hon Lord Denning
Natalie Wood
Lindsay Anderson
Salvatore Accardo
Erich Segal
Leonard Rossiter
Commissioner Catherine Bramwell-Booth
Donald Pleasence
Frances Perry
Geoffrey Household
Kiri Te Kanawa
Susannah York
Timothy West
Claudio Abbado
Otto Preminger
Sir Cecil Beaton
Dizzy Gillespie
Sir Peter Parker
Reginald Goodall
Kyung-Wha Chung
Sir Osbert Lancaster
Norman Mailer
Elisabeth Soderstrom
Charles Causley
Peter Shaffer
Michael Palin
Roald Dahl
Rex Harrison
Josephine Barstow
Wilfred Thesiger
Pam Ayres
Ted Allbeury
Richard Buckle
June Mendoza
Peter Barkworth
Barry Norman
Boris Christoff
Sir Ralph Richardson
Dame Moura Lympany
Dick Clements &amp; Ian La Frenais
C Northcote Parkinson
Glen Tetley
Tito Gobbi
Ed McBain
Ian Carmichael
Sir Robert Mayer
Jack Brymer
Alec McCowen
James Cameron
Edward Fox
Patricia Highsmith
Sir Edmund Hillary
Sir Adrian Boult
Burl Ives
Ray Reardon
Ileana Cotrubas
Lauren Bacall
Nana Mouskouri
Sir Arthur Bryant
Norris McWhirter
Robert Stephens
Benjamin Luxon
Elia Kazan
Allan Prior
Robert Powell
Norman Parkinson
Sir Robert Helpmann
Dinsdale Landen
Barry John
Vladimir Ashkenazy
Joan Fontaine
David Bellamy
John Wain
Jule Styne
Colin Wilson
Noel Edmonds
Christopher Fry
Alec Clifton-Taylor
Alan Jay Lerner
Cathy Berberian
Tennessee Williams
Gian Carlo Menotti
Fred Trueman
Janet Suzman
Barbara Pym
Patricia Batty Shaw
Rita Streich
Jane Grigson
Mel Brooks
Dr Catherine Gavin
Sir Clifford Curzon
Derek Jacobi
Victoria de los Angeles
Anna Raeburn
Rt. Hon. Lord Shinwell
Sir Lennox Berkeley
Charles Aznavour
Itzhak Perlman
Sir John Glubb
Les Dawson
Felicity Kendal
David Wall
Rt Rev. And Rt Hon. Gerald Ellison
Professor J H Plumb
Rt Hon. Margaret Thatcher
Amadeus String Quartet
Spike Milligan
Raymond Mander &amp; Joe Mitchenson
Alan Coren
Omar Sharif
Dorothy Edwards
Sir Alec Guinness
Phil Drabble
Grace Bumbry
Winston Graham
Peter Ustinov
Professor Alan Gemmell
Richard Adams
Wayne Sleep
Claire Rayner
Barry Sheene
Molly Weir
Louis Fremaux
Mike Brearley
Michael Croft
Robin Richmond
Dame Daphne Du Maurier
Dannie Abse
Deborah Kerr
A L Rowse
Jessica Mitford
Arthur C Clarke
Shirley Conran
