206;"Francis Child";"English Scottish Ballads"
208;"Johan H Huizinga";"The Waning Of The Middle Ages"
209;"Scarlatti";"All The Sonatas"
210;;"Encyclopaedia"
211;"M Horace Hayes";"Veterinary Notes For Horse Owners"
212;"Tom Sharpe";"Wilt"
213;"Daniel Defoe";"Robinson Crusoe"
214;"Harold Pinter";"Compendium Of Plays"
215;"Henry James";"The Golden Bowl"
216;"V S Naipaul";"A House For Mr Biswas"
217;;"Atlas Of The Third World"
218;"Honore De Balzac";"Fairy Stories"
219;"T S Eliot";"Four Quartets"
220;"Arthur Koestler";"The Act Of Creation"
221;"Helen Gardiner";"The Oxford Book Of English Verse"
222;"Robert Graves";"Greek Myths"
223;;"Recent Editions Of Magazines, E.g. Vanity Fair; Vogue"
224;"Geoffrey Chaucer";"Canterbury Tales"
225;"Kahlil Gibran";"The Prophet"
226;"Duc De Saint-simon";"Memoirs"
227;"Dr Roy Strong";"A Celebration Of Gardens"
228;;"The Oxford Dictionary Of Quotations"
229;;"A Thousand And One Nights"
230;;"Reader's Digest"
231;"Mark Twain";"Huckleberry Finn"
232;;"Photograph Album"
233;;"Norton's Star Atlas"
234;;"All Correspondence Between Her And Her Mother"
236;"Vikram Seth";"A Suitable Boy"
237;"Naomi Lewis";"Messages - Poetry"
238;;"Faber Book Of Religious Verse"
239;"Dan Millman";"Way Of The Peaceful Warrior"
240;"Samuel Pepys";"Diary"
241;"Stephen Runciman";"History Of The Crusades"
242;"Richard Elman";"The New Oxford Book Of American Verse"
243;"Henry Handel Richardson";"Maurice Guest"
244;"T H White";"The Once And Future King"
245;"W B Yeats";"Complete Works"
246;"Sigmund Freud";"Complete Works"
247;;"Geometry Tutor"
248;"William Shakespeare";"Complete Works In German"
249;;"Russian Dictionary"
250;"Sir Winston Churchill";"A History Of The English Speaking Peoples"
251;"Chateaubriand";"Memories From Beyond The Grave"
252;"Kingsley Amis";"Lucky Jim"
253;"Charles Dickens";"Oliver Twist"
254;"John Donne";"Poems For Joy Sermons For Solace"
255;;"Sas Survival Manual"
256;;"A Diy Manual"
257;"Robert Heinlein";"Glory Road"
258;;"A Collection Of Poems"
259;"W B Yeats";"Poetry"
260;;"A Book Of American History"
261;;"History Of The United States"
262;"Kenneth Rose";"George V"
263;;"Who's Who In The Theatre"
264;"William Morris";"The Collected Works"
265;;"A Book About Hollywood"
266;;"A History Of Great Britain"
267;"Margaret Mitchell";"Gone With The Wind"
268;"Thomas Hardy";"Mayor Of Casterbridge"
269;;"Teach Yourself Bridge"
270;;"A Bound Copy Of The Spectator Magazines"
271;"Anthony Trollope";"Barchester Novels"
272;;"A Do-it-yourself Manual"
273;;"Do-it-yourself Manual"
274;"Gabriel Garcia Marquez";"Love In The Time Of Cholera"
275;;"I Ching"
276;;"Teach Yourself Physics"
277;"Marcel Proust";"Books"
278;;"Dictionary Of National Biography"
279;"Herman Melville";"Moby Dick"
280;;"A Book Of Edible Fruits And Vegetables"
281;"Oscar Wilde";"The Picture Of Dorian Gray"
282;;"Teach-yourself Manual Of The Principal Foreign Languages"
283;"Josef Von Sternberg";"Fun In A Chinese Laundry"
284;"Thora Hird";"Scene Hird"
285;;"History Of The World"
286;"Charlotte Bronte";"Jane Eyre"
287;;"Encyclopaedia Britannica"
288;;"The Scores Of All Music Chosen In A Bound Volume"
289;"Agatha Christie";"Why Didn't They Ask Evans?"
290;"Thomas Hardy";"Tess Of The D'urbervilles"
291;"Anthony Trollope";"The Last Chronicle Of Barset"
292;;"The Oxford English Dictionary"
293;"Aesop";"Fables"
294;"Lewis Carroll";"Alice In Wonderland"
295;"Gareth Jones";"The Disinherited"
296;;"A Collection Of Short Stories"
297;"St Francis De Sales";"Introduction To The Devout Life"
298;;"Filofax"
299;"Johann Wyss";"The Swiss Family Robinson"
300;"Pat Conroy";"Prince Of Tides"
301;;"The Biggest Atlas In The World"
302;"Dr Jacob Bronowski";"The Ascent Of Man"
303;"Keith Floyd";"Floyd On Fish"
304;"Sir Winston Churchill";"The Second World War"
305;"Elizabeth David";"French Provincial Cooking"
306;"Swami Muktananda";"Where Are You Going?"
307;"Jack Higgins";"The Eagle Has Landed"
308;"James Kavanaugh";"Will You Be My Friend?"
309;"Charles Dickens";"The Complete Works"
310;"Wilfred Owen";"Autobiography"
311;"F. Scott Fitzgerald";"The Great Gatsby"
312;"Ayn Rand";"Atlas Shrugged"
313;"Virginia Woolf";"Letters"
314;"Sam Shepard";"Hawk Moon"
315;"Jane Austen";"The Collected Works"
316;;"Dictionary"
317;;"The Complete Andy Capp"
318;;"The Oxford Book Of English Verse"
319;"Paul Verlaine";"Poetry"
320;"John Fowles";"The Magus"
321;;"Her Own Autobiography"
322;"Aleksandr Pushkin";"Poetry"
323;"William Wordsworth";"The Collected Works"
324;"Anthony Burgess";"Language Made Plain"
325;"Herodotus";"Histories"
326;"Rudyard Kipling";"Indian Tales"
327;;"Hexalingual Thesaurus"
328;"Anthony Wood";"The Five-volume Works"
329;"Rudyard Kipling";"Kim"
330;;"Blank Paper"
331;"Mrs Beeton";"Household Management"
332;"Kathleen Winsor";"Forever Amber"
333;;"The World Encyclopaedia Of Cookery"
334;;"True Funny Stories In German"
335;"Leo Tolstoy";"Anna Karenina"
336;;"The Bhagavad-gita"
337;"Marquise De Sevigne";"Letters"
338;"Hector Berlioz";"Books"
339;"Hugh Johnson";"Cookery Book"
340;"Jane Austen";"Persuasion"
341;"Dama Pada";"Buddhist Scripture"
342;"Saint Therese Of Lisieux";"Autobiography"
343;;"Illustrated Dictionary"
344;"Arthur Quiller-couch";"The Oxford Book Of English Verse"
345;"Edward Gibbon";"The History Of The Decline And Fall Of The Roman Empire"
346;"Moss Hart";"Act One"
347;"Dante Alighieri";"Inferno"
348;"Louis De Rouvroy";"Memoirs"
349;"Diana Dors";"Autobiography"
350;"P G Wodehouse";"Novels"
351;"Virginia Woolf";"Diaries"
352;;"French Language Course"
353;"George Kelly";"Plays"
354;;"Dictionary Of Quotations"
355;"Johann Wolfgang Goethe";"Collected Works"
356;"William Durant";"The Story Of Civilization"
357;"Rosamond Lehmann";"The Weather In The Streets"
359;"Barbara Woodhouse";"Talking To Animals"
360;"E E Cummings";"Poetry"
361;;"The Salvation Army Songbook"
362;;"Survival Manual"
363;;"Italian Touring Atlas Of The World"
364;"Hermann Hesse";"Siddhartha"
365;"Simone De Beauvoir";"The Second Sex"
366;"Thomas Hardy";"Jude The Obscure"
367;"Frederick Forsyth";"The Day Of The Jackal"
368;"Neville Williams";"The Penguin Chronology Of The Modern World"
369;;"Book About Growing Flowers And Vegetables On A Desert Island"
370;;"History Of The Whole World"
371;"John Cheever";"Collected Short Stories"
372;"Antoine De Saint-exupery";"The Little Prince"
373;;"Single-volume Encyclopaedia"
374;"Kenneth Clark";"Civilisation"
375;"Malford";"The Nonsense Of Dying"
376;"Geoffrey Grigson";"Notes From An Odd Country"
377;"Queen Victoria";"Letters"
